"X","ROOT","MAIN.GENOME","DOMAIN","KINGDOM","SUPER.PHYLUM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES"
"OTU_746","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," JG30-KF-CM66","Unclassified_JG30-KF-CM66","Unclassified_JG30-KF-CM66","Unclassified_JG30-KF-CM66","Unclassified_JG30-KF-CM66"
"OTU_747","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Myxococcota"," bacteriap25","Unclassified_bacteriap25","Unclassified_bacteriap25","Unclassified_bacteriap25","Unclassified_bacteriap25"
"OTU_748","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j"
"OTU_749","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales"," Beijerinckiaceae"," Bosea","Unclassified_Bosea"
"OTU_750","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Actinobacteria"," Bifidobacteriales"," Bifidobacteriaceae"," Gardnerella","Unclassified_Gardnerella"
"OTU_751","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Pseudomonadales"," SAR86 clade","Unclassified_SAR86 clade","Unclassified_SAR86 clade"
"OTU_752","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Pseudomonadales"," Pseudohongiellaceae"," Pseudohongiella","Unclassified_Pseudohongiella"
"OTU_753","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j"
"OTU_754","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales"," Hydrogenophilaceae","Unclassified_Hydrogenophilaceae","Unclassified_Hydrogenophilaceae"
"OTU_755","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria"
"OTU_756","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales"," Comamonadaceae","Unclassified_Comamonadaceae","Unclassified_Comamonadaceae"
"OTU_757","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Rhodobacterales"," Rhodobacteraceae"," Rubellimicrobium","Unclassified_Rubellimicrobium"
"OTU_758","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Bdellovibrionota"," Bdellovibrionia"," Bdellovibrionales","Unclassified_Bdellovibrionales","Unclassified_Bdellovibrionales","Unclassified_Bdellovibrionales"
"OTU_759","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Verrucomicrobiae"," Pedosphaerales"," Pedosphaeraceae"," DEV114","Unclassified_DEV114"
"OTU_760","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota","Unclassified_Planctomycetota","Unclassified_Planctomycetota","Unclassified_Planctomycetota","Unclassified_Planctomycetota","Unclassified_Planctomycetota"
"OTU_761","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Gracilibacteria phylum incertae sedis"," Gracilibacteria"," Candidatus Peribacteria","Unclassified_Candidatus Peribacteria","Unclassified_Candidatus Peribacteria","Unclassified_Candidatus Peribacteria"
"OTU_762","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Defluviicoccales","Unclassified_Defluviicoccales","Unclassified_Defluviicoccales","Unclassified_Defluviicoccales"
"OTU_763","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," MSBL9"," SG8-4","Unclassified_SG8-4","Unclassified_SG8-4"
"OTU_764","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Desulfobacterota"," Desulfuromonadia"," PB19","Unclassified_PB19","Unclassified_PB19","Unclassified_PB19"
