Name,SeqName,Depth,Core,qPCR_bac,qPCR_arch,qPCR_proka,qPCR_NA,OxygenDepth,Fe_abundant,Location
Blank_S2,Blank_S2,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB06_blnk_70,CB06_blnk_70,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB08_blnk_66,CB08_blnk_66,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB08_blnk_67,CB08_blnk_67,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB08_blnk_68,CB08_blnk_68,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB10_blnk_86,CB10_blnk_86,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB11_blnk_20,CB11_blnk_20,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB11_blnk_46,CB11_blnk_46,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB14_blnk_94,CB14_blnk_94,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB14_blnk_95,CB14_blnk_95,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB14_blnk_96,CB14_blnk_96,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_21,CB15_blnk_21,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_22,CB15_blnk_22,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_81,CB15_blnk_81,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_82,CB15_blnk_82,B,B,NA,NA,NA,TRUE,nan,nan,nan
GS15_GC01_10,GS15_GC01_02,10,8,18120.6470484122,8338.96696147192,26459.6140098841,FALSE,85,No,AMOR
GS15_GC01_20,GS15_GC01_03,20,8,17854.0306980881,19303.582169228,37157.6128673161,FALSE,85,No,AMOR
GS15_GC01_30,GS15_GC01_04,30,8,28199.3551815257,15217.6957971909,43417.0509787166,FALSE,85,No,AMOR
GS15_GC01_40,GS15_GC01_05,40,8,15403.1756093384,1640.05606369162,17043.23167303,FALSE,85,No,AMOR
GS15_GC01_50,GS15_GC01_06,50,8,13464.6869893698,4242.58783545997,17707.2748248298,FALSE,85,No,AMOR
GS15_GC01_75,GS15_GC01_07,75,8,43013.9565368906,88809.8752350233,131823.831771914,FALSE,85,No,AMOR
GS15_GC01_83,GS15_GC01_08,83,8,38133.8827118619,43099.0530698354,81232.9357816973,FALSE,85,No,AMOR
GS15_GC01_88,GS15_GC01_09,88,8,14211.5166846742,6799.89862103834,21011.4153057125,FALSE,85,No,AMOR
GS15_GC01_90,GS15_GC01_10,90,8,18971.5254197427,4945.85999655067,23917.3854162934,FALSE,85,No,AMOR
GS15_GC01_98,GS15_GC01_11,98,8,19683.50945947,2194.79907642711,21878.3085358971,FALSE,85,No,AMOR
GS15_GC01_100,GS15_GC01_12,100,8,38639.6949673876,71687.0249053578,110326.719872745,FALSE,85,No,AMOR
GS15_GC01_108,GS15_GC01_13,108,8,57467.8772287812,21566.4074055709,79034.2846343521,FALSE,85,No,AMOR
GS15_GC01_130,GS15_GC01_14,130,8,259325.465051594,232555.674760368,491881.139811962,FALSE,85,No,AMOR
